Date,rain
1975-07,12.0
1975-08,0.0
1975-09,13.0
1975-10,27.0
1975-11,7.0
1975-12,60.0
1976-01,30.0
1976-02,95.0
1976-03,0.0
1976-04,0.0
1976-05,0.0
1976-06,0.0
1976-07,0.0
1976-08,6.0
1976-09,15.0
1976-10,177.0
1976-11,101.0
1976-12,3.0
1977-01,0.0
1977-02,21.0
1977-03,0.0
1977-04,0.0
1977-05,0.0
1977-06,0.0
1977-07,0.0
1977-08,73.0
1977-09,31.0
1977-10,23.0
1977-11,3.0
1977-12,18.0
1978-01,79.0
1978-02,34.0
1978-03,21.0
1978-04,0.0
1978-05,0.0
1978-06,0.0
1978-07,34.0
1978-08,130.0
1978-09,135.0
1978-10,58.0
1978-11,61.0
1978-12,135.0
1979-01,0.0
1979-02,0.0
1979-03,0.0
1979-04,0.0
1979-05,0.0
1979-06,0.0
1979-07,0.0
1979-08,85.0
1979-09,79.0
1979-10,21.0
1979-11,48.0
1979-12,15.0
1980-01,25.0
1980-02,96.0
1980-03,0.0
1980-04,0.0
1980-05,0.0
1980-06,0.0
1980-07,0.0
1980-08,0.0
1980-09,67.0
1980-10,11.0
1980-11,43.0
1980-12,77.0
1981-01,30.0
1981-02,11.0
1981-03,0.0
1981-04,0.0
1981-05,0.0
1981-06,0.0
1981-07,0.0
1981-08,32.0
1981-09,28.0
1981-10,65.0
1981-11,45.0
1981-12,33.0
1982-01,44.0
1982-02,9.0
1982-03,0.0
1982-04,0.0
1982-05,0.0
1982-06,0.0
1982-07,2.7214365183619726
1982-08,51.04924888978576
1982-09,57.166012914858314
1982-10,52.19405318857656
1982-11,43.78429753568277
1982-12,43.69504571009057
1983-01,26.353416710221765
1983-02,29.349107051569153
1983-03,0.0
1983-04,0.0
1983-05,0.0
1983-06,0.0
1983-07,14.5
1983-08,88.0
1983-09,27.0
1983-10,26.0
1983-11,22.0
1983-12,47.0
1984-01,19.0
1984-02,50.0
1984-03,0.0
1984-04,0.0
1984-05,0.0
1984-06,0.0
1984-07,6.0
1984-08,40.0
1984-09,39.0
1984-10,9.0
1984-11,38.0
1984-12,73.0
1985-01,43.0
1985-02,18.0
1985-03,16.0
1985-04,0.0
1985-05,0.0
1985-06,0.0
1985-07,2.0
1985-08,43.0
1985-09,34.0
1985-10,24.0
1985-11,15.0
1985-12,14.0
1986-01,30.0
1986-02,23.0
1986-03,0.0
1986-04,0.0
1986-05,0.0
1986-06,0.0
1986-07,0.0
1986-08,38.0
1986-09,120.0
1986-10,8.0
1986-11,62.0
1986-12,87.0
1987-01,27.0
1987-02,60.0
1987-03,0.0
1987-04,0.0
1987-05,0.0
1987-06,0.0
1987-07,0.0
1987-08,61.0
1987-09,147.0
1987-10,107.0
1987-11,50.0
1987-12,114.0
1988-01,54.0
1988-02,38.0
1988-03,0.0
1988-04,0.0
1988-05,11.0
1988-06,0.0
1988-07,3.0
1988-08,74.0
1988-09,35.0
1988-10,120.0
1988-11,58.0
1988-12,134.0
1989-01,3.0
1989-02,28.0
1989-03,0.0
1989-04,0.0
1989-05,0.0
1989-06,0.0
1989-07,8.875942497673535
1989-08,60.09153652131825
1989-09,77.13460742698558
1989-10,57.73084859131011
1989-11,51.74438266576492
1989-12,88.38289577555352
1990-01,32.32119082124783
1990-02,32.01804954077059
1990-03,11.350839452023688
1990-04,12.732881087568622
1990-05,14.830829014806085
1990-06,16.43219320086321
1990-07,0.0
1990-08,45.0
1990-09,86.0
1990-10,23.0
1990-11,50.0
1990-12,113.0
1991-01,29.0
1991-02,0.0
1991-03,0.0
1991-04,0.0
1991-05,0.0
1991-06,0.0
1991-07,37.52394360171303
1991-08,69.55976088250661
